State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 616;34;27.78;6.689;2633;1.08e+004;8735;8,67E+07;2,14E+07;0.05462;0.6606
Case 617;34;27.78;8.017;2631;1.08e+004;8573;8,77E+07;2,14E+07;0.05443;0.6615
Case 618;34;27.78;9.344;2630;1,08E+07;8411;8,87E+07;2,14E+07;0.05423;0.6623
Case 619;34;27.78;10.67;2629;1,08E+07;8249;8,97E+07;2,14E+07;0.05404;0.6632
Case 620;34;27.78;12;2628;1,08E+07;8088;9,07E+07;2,15E+07;0.05384;0.6641
Case 621;34;30.56;0.05;2644;1.08e+004;9554;8,16E+07;2,12E+07;0.05585;0.6556
Case 622;34;30.56;1.378;2643;1.08e+004;9390;8,26E+07;2,12E+07;0.05569;0.6563
Case 623;34;30.56;2.706;2641;1.08e+004;9226;8,36E+07;2,13E+07;0.05553;0.657
Case 624;34;30.56;4.033;2640;1.08e+004;9062;8,46E+07;2,13E+07;0.05535;0.6578
Case 625;34;30.56;5.361;2639;1.08e+004;8899;8,56E+07;2,13E+07;0.05517;0.6585
Case 626;34;30.56;6.689;2638;1.08e+004;8736;8,66E+07;2,14E+07;0.05499;0.6594
Case 627;34;30.56;8.017;2637;1.08e+004;8574;8,76E+07;2,14E+07;0.0548;0.6602
Case 628;34;30.56;9.344;2635;1.08e+004;8412;8,86E+07;2,14E+07;0.0546;0.6611
Case 629;34;30.56;10.67;2634;1,08E+07;8250;8,96E+07;2,14E+07;0.05441;0.6619
Case 630;34;30.56;12;2633;1,08E+07;8089;9,06E+07;2,15E+07;0.05421;0.6628
Case 631;34;33.33;0.05;2649;1.08e+004;9554;8,14E+07;2,12E+07;0.05623;0.6544
Case 632;34;33.33;1.378;2648;1.08e+004;9390;8,25E+07;2,12E+07;0.05607;0.655
Case 633;34;33.33;2.706;2647;1.08e+004;9226;8,35E+07;2,13E+07;0.0559;0.6557
Case 634;34;33.33;4.033;2645;1.08e+004;9063;8,45E+07;2,13E+07;0.05573;0.6565
Case 635;34;33.33;5.361;2644;1.08e+004;8900;8,55E+07;2,13E+07;0.05554;0.6573
Case 636;34;33.33;6.689;2643;1.08e+004;8737;8,65E+07;2,14E+07;0.05536;0.6581
Case 637;34;33.33;8.017;2642;1.08e+004;8575;8,75E+07;2,14E+07;0.05517;0.6589
Case 638;34;33.33;9.344;2641;1.08e+004;8413;8,85E+07;2.14e+004;0.05497;0.6598
Case 639;34;33.33;10.67;2639;1.08e+004;8252;8,95E+07;2,14E+07;0.05478;0.6606
Case 640;34;33.33;12;2638;1,08E+07;8091;9,05E+07;2,15E+07;0.05458;0.6615
Case 641;34;36.11;0.05;2654;1.08e+004;9554;8,13E+07;2.12e+004;0.05661;0.6531
Case 642;34;36.11;1.378;2653;1.08e+004;9390;8,23E+07;2,12E+07;0.05645;0.6538
Case 643;34;36.11;2.706;2652;1.08e+004;9227;8,34E+07;2,13E+07;0.05628;0.6545
Case 644;34;36.11;4.033;2651;1.08e+004;9063;8,44E+07;2,13E+07;0.0561;0.6552
Case 645;34;36.11;5.361;2650;1.08e+004;8901;8,54E+07;2,13E+07;0.05592;0.656
Case 646;34;36.11;6.689;2648;1.08e+004;8738;8,64E+07;2,13E+07;0.05573;0.6568
Case 647;34;36.11;8.017;2647;1.08e+004;8576;8,74E+07;2,14E+07;0.05554;0.6576
Case 648;34;36.11;9.344;2646;1.08e+004;8415;8,84E+07;2.14e+004;0.05535;0.6585
Case 649;34;36.11;10.67;2645;1.08e+004;8253;8,94E+07;2,14E+07;0.05516;0.6593
Case 650;34;36.11;12;2643;1.08e+004;8093;9,04E+07;2,15E+07;0.05496;0.6601
Case 651;34;38.89;0.05;2660;1.08e+004;9555;8,12E+07;2.12e+004;0.057;0.6518
Case 652;34;38.89;1.378;2658;1.08e+004;9391;8,22E+07;2,12E+07;0.05683;0.6525
Case 653;34;38.89;2.706;2657;1.08e+004;9227;8,32E+07;2,13E+07;0.05666;0.6532
Case 654;34;38.89;4.033;2656;1.08e+004;9064;8,42E+07;2,13E+07;0.05648;0.654
Case 655;34;38.89;5.361;2655;1.08e+004;8902;8,52E+07;2,13E+07;0.0563;0.6548
Case 656;34;38.89;6.689;2653;1.08e+004;8739;8,63E+07;2,13E+07;0.05611;0.6556
Case 657;34;38.89;8.017;2652;1.08e+004;8577;8,73E+07;2,14E+07;0.05592;0.6564
Case 658;34;38.89;9.344;2651;1.08e+004;8416;8,82E+07;2,14E+07;0.05573;0.6572
Case 659;34;38.89;10.67;2650;1.08e+004;8255;8,92E+07;2,14E+07;0.05554;0.658
Case 660;34;38.89;12;2648;1.08e+004;8094;9,02E+07;2,14E+07;0.05535;0.6588
Case 661;34;41.67;0.05;2665;1.08e+004;9555;8,11E+07;2,12E+07;0.05739;0.6506
Case 662;34;41.67;1.378;2664;1.08e+004;9391;8,21E+07;2,12E+07;0.05722;0.6513
Case 663;34;41.67;2.706;2662;1.08e+004;9228;8,31E+07;2,13E+07;0.05704;0.652
Case 664;34;41.67;4.033;2661;1.08e+004;9065;8,41E+07;2,13E+07;0.05686;0.6528
Case 665;34;41.67;5.361;2660;1.08e+004;8902;8,51E+07;2.13e+004;0.05668;0.6535
Case 666;34;41.67;6.689;2659;1.08e+004;8740;8,61E+07;2,13E+07;0.05649;0.6543
Case 667;34;41.67;8.017;2657;1.08e+004;8579;8,71E+07;2,14E+07;0.0563;0.6551
Case 668;34;41.67;9.344;2656;1.08e+004;8417;8,81E+07;2,14E+07;0.05611;0.6559
Case 669;34;41.67;10.67;2655;1.08e+004;8256;8,91E+07;2,14E+07;0.05592;0.6567
Case 670;34;41.67;12;2654;1.08e+004;8096;9,01E+07;2,14E+07;0.05573;0.6575
Case 671;34;44.44;0.05;2670;1.08e+004;9555;8.1e+004;2,12E+07;0.05777;0.6494
Case 672;34;44.44;1.378;2669;1.08e+004;9392;8,20E+07;2,12E+07;0.0576;0.6501
Case 673;34;44.44;2.706;2668;1.08e+004;9228;8,30E+07;2,12E+07;0.05743;0.6508
Case 674;34;44.44;4.033;2666;1.08e+004;9066;8,40E+07;2,13E+07;0.05725;0.6515
Case 675;34;44.44;5.361;2665;1.08e+004;8903;8,50E+07;2,13E+07;0.05706;0.6523
Case 676;34;44.44;6.689;2664;1.08e+004;8741;8,60E+07;2,13E+07;0.05688;0.653
Case 677;34;44.44;8.017;2663;1.08e+004;8580;8,70E+07;2,14E+07;0.05669;0.6538
Case 678;34;44.44;9.344;2661;1.08e+004;8419;8,80E+07;2,14E+07;0.0565;0.6546
Case 679;34;44.44;10.67;2660;1.08e+004;8258;8,90E+07;2.14e+004;0.05631;0.6554
Case 680;34;44.44;12;2659;1.08e+004;8097;9,00E+07;2,14E+07;0.05613;0.6562
Case 681;34;47.22;0.05;2675;1.08e+004;9555;8,09E+07;2,12E+07;0.05816;0.6481
Case 682;34;47.22;1.378;2674;1.08e+004;9392;8.19e+004;2,12E+07;0.05799;0.6488
Case 683;34;47.22;2.706;2673;1.08e+004;9229;8,29E+07;2,12E+07;0.05782;0.6495
Case 684;34;47.22;4.033;2672;1.08e+004;9066;8,39E+07;2,13E+07;0.05764;0.6503
Case 685;34;47.22;5.361;2670;1.08e+004;8904;8,49E+07;2,13E+07;0.05745;0.651
Case 686;34;47.22;6.689;2669;1.08e+004;8742;8,59E+07;2,13E+07;0.05727;0.6518
Case 687;34;47.22;8.017;2668;1.08e+004;8581;8,69E+07;2,13E+07;0.05708;0.6525
Case 688;34;47.22;9.344;2667;1.08e+004;8420;8,79E+07;2,14E+07;0.0569;0.6533
Case 689;34;47.22;10.67;2665;1.08e+004;8259;8,89E+07;2,14E+07;0.05671;0.6541
Case 690;34;47.22;12;2664;1.08e+004;8099;8,99E+07;2,14E+07;0.05652;0.6548
Case 691;34;50;0.05;2681;1.08e+004;9556;8,08E+07;2,12E+07;0.05856;0.6469
Case 692;34;50;1.378;2679;1.08e+004;9392;8,18E+07;2.12e+004;0.05839;0.6476
Case 693;34;50;2.706;2678;1.08e+004;9230;8.28e+004;2,12E+07;0.05821;0.6483
Case 694;34;50;4.033;2677;1.08e+004;9067;8.38e+004;2,13E+07;0.05803;0.649
Case 695;34;50;5.361;2676;1.08e+004;8905;8.48e+004;2,13E+07;0.05785;0.6498
Case 696;34;50;6.689;2674;1.08e+004;8743;8.58e+004;2.13e+004;0.05766;0.6505
Case 697;34;50;8.017;2673;1.08e+004;8582;8.68e+004;2,13E+07;0.05748;0.6513
Case 698;34;50;9.344;2672;1.08e+004;8421;8.78e+004;2,14E+07;0.05729;0.652
Case 699;34;50;10.67;2671;1.08e+004;8261;8.88e+004;2,14E+07;0.05711;0.6528
Case 700;34;50;12;2669;1.08e+004;8100;8.98e+004;2.14e+004;0.05693;0.6535
Case 701;36.67;25;0.05;2634;1.08e+004;9478;8,21E+07;2,12E+07;0.05561;0.656
Case 702;36.67;25;1.378;2633;1.08e+004;9314;8,31E+07;2,12E+07;0.05545;0.6566
Case 703;36.67;25;2.706;2631;1.08e+004;9149;8.41e+004;2,12E+07;0.05527;0.6574
Case 704;36.67;25;4.033;2630;1.08e+004;8986;8,51E+07;2,13E+07;0.05509;0.6582
Case 705;36.67;25;5.361;2629;1.08e+004;8822;8,61E+07;2.13e+004;0.0549;0.659
Case 706;36.67;25;6.689;2628;1.08e+004;8659;8,71E+07;2,13E+07;0.05471;0.6599
Case 707;36.67;25;8.017;2627;1.08e+004;8497;8,81E+07;2,14E+07;0.05451;0.6608
Case 708;36.67;25;9.344;2625;1.08e+004;8335;8,91E+07;2,14E+07;0.05431;0.6617
Case 709;36.67;25;10.67;2624;1,08E+07;8173;9,01E+07;2,14E+07;0.05411;0.6626
Case 710;36.67;25;12;2623;1,08E+07;8012;9.11e+004;2,15E+07;0.0539;0.6635
Case 711;36.67;27.78;0.05;2639;1.08e+004;9479;8,20E+07;2,12E+07;0.05599;0.6547
Case 712;36.67;27.78;1.378;2638;1.08e+004;9314;8,30E+07;2,12E+07;0.05582;0.6554
Case 713;36.67;27.78;2.706;2637;1.08e+004;9150;8,40E+07;2,12E+07;0.05564;0.6561
Case 714;36.67;27.78;4.033;2636;1.08e+004;8986;8.5e+004;2,13E+07;0.05546;0.6569
Case 715;36.67;27.78;5.361;2634;1.08e+004;8823;8.6e+004;2.13e+004;0.05527;0.6578
Case 716;36.67;27.78;6.689;2633;1.08e+004;8661;8.7e+004;2,13E+07;0.05507;0.6586
Case 717;36.67;27.78;8.017;2632;1.08e+004;8498;8.8e+004;2,14E+07;0.05488;0.6595
Case 718;36.67;27.78;9.344;2631;1.08e+004;8336;8.9e+004;2,14E+07;0.05468;0.6604
Case 719;36.67;27.78;10.67;2629;1.08e+004;8175;9,00E+04;2,14E+07;0.05447;0.6613
Case 720;36.67;27.78;12;2628;1,08E+07;8013;9,10E+07;2,14E+07;0.05427;0.6622
Case 721;36.67;30.56;0.05;2644;1.08e+004;9479;8,19E+07;2,12E+07;0.05637;0.6534
Case 722;36.67;30.56;1.378;2643;1.08e+004;9315;8,29E+07;2,12E+07;0.0562;0.6541
Case 723;36.67;30.56;2.706;2642;1.08e+004;9151;8,39E+07;2,12E+07;0.05602;0.6549
Case 724;36.67;30.56;4.033;2641;1.08e+004;8987;8,49E+07;2,13E+07;0.05583;0.6557
Case 725;36.67;30.56;5.361;2640;1.08e+004;8824;8,59E+07;2,13E+07;0.05564;0.6565
Case 726;36.67;30.56;6.689;2638;1.08e+004;8662;8,69E+07;2,13E+07;0.05544;0.6574
